label,text
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim your prize now!"
spam,"FREE MONEY! Make $5000 a week working from home. No experience needed. Call now!"
spam,"URGENT: Your account has been compromised. Verify your details immediately at this link."
spam,"Buy cheap V1agra online! Best prices guaranteed. No prescription needed."
spam,"You are selected for a lottery prize of $500,000. Send your bank details to claim."
spam,"Hot singles in your area want to meet you! Click here for free access."
spam,"Lose 30 pounds in 30 days! Our miracle pill is 100% guaranteed. Order now!"
spam,"LIMITED OFFER: Get iPhone 15 for FREE. Just pay shipping. Click here!"
spam,"Make money fast! Earn $200/hour online. Sign up today, no investment needed."
spam,"Your package could not be delivered. Click to reschedule. [Suspicious Link]"
spam,"WINNER WINNER! You have been randomly selected. Claim your prize before it expires!"
spam,"Debt relief program: Eliminate all your debt in 90 days. Call our hotline now!"
spam,"Meet beautiful Russian brides! Free registration. Click here for photos."
spam,"Your PayPal account is suspended. Update your information immediately to restore access."
spam,"Work from home opportunity! Be your own boss. Earn thousands weekly. Join free!"
spam,"CASINO BONUS: $500 free chips waiting for you. Register and claim instantly!"
spam,"Get rich quick! Our proven system made me $10,000 last month. Free webinar!"
spam,"Increase your credit score by 200 points overnight. Guaranteed or money back!"
spam,"Nigerian prince needs your help transferring $15 million. You get 30% commission."
spam,"Your computer has a virus! Call our tech support immediately: 1-800-SCAM-NOW"
ham,"Hey, are we still meeting for lunch tomorrow at 1pm? Let me know if the time works."
ham,"Please find attached the quarterly sales report for your review before the board meeting."
ham,"Happy birthday! Hope you have a wonderful day filled with joy and celebration."
ham,"Just a reminder that the team standup is at 10am today. See you all there."
ham,"I wanted to follow up on our conversation from last week about the project timeline."
ham,"The package you ordered has been shipped and will arrive within 3-5 business days."
ham,"Can you please review the attached document and provide your feedback by Friday?"
ham,"Your appointment with Dr. Smith is confirmed for Tuesday, March 15th at 2:30pm."
ham,"Thank you for your purchase! Your order #12345 has been successfully placed."
ham,"I'm running 10 minutes late to the meeting. Please start without me."
ham,"Could you send me the login credentials for the new project management tool?"
ham,"The annual company picnic is scheduled for June 20th. Please RSVP by June 10th."
ham,"I've completed the code review you requested. Some minor suggestions in the comments."
ham,"Reminder: Your subscription renewal is due in 7 days. No action needed if you wish to continue."
ham,"The budget proposal you submitted has been approved by the finance committee."
ham,"Great presentation today! The clients were very impressed with your work."
ham,"Can we schedule a call this week to discuss the project requirements in detail?"
ham,"Your flight booking confirmation for New York on April 5th is attached."
ham,"I found a great article about machine learning you might find interesting. Sharing below."
ham,"Please remember to submit your timesheet by end of day Friday to ensure timely payment."
spam,"Exclusive investment opportunity! Double your money in 60 days. Guaranteed returns!"
spam,"You owe taxes! IRS final notice. Pay immediately or face arrest. Call now!"
spam,"Herbal supplement cures diabetes, cancer, and obesity. Doctors hate this one trick!"
spam,"Earn passive income while you sleep! Our automated system does all the work."
spam,"Congratulations, your email was selected as today's lucky winner. Click to claim!"
ham,"The monthly newsletter is attached. Let us know if you have feedback on the content."
ham,"Thanks for dinner last night — the food was amazing. We should do it again soon."
ham,"Just checking in to see how the new role is going. Hope you're settling in well."
ham,"The conference call recording has been uploaded to the shared drive for your reference."
ham,"We've updated our privacy policy. Please review the changes at your earliest convenience."
